LONG,LAT,PROB,SEIZURE,YEAR,ORIGIN
10.22335652,2.706556232,0.631114766,A,2017,Nigeria
11.94296087,2.133354783,0.443860221,A,2017,Nigeria
14.23576667,3.279757681,0.463037439,A,2017,Nigeria
10.22335652,2.706556232,0.260322003,A,2017,Nigeria
10.79655797,2.133354783,0.106061514,A,2017,Nigeria
10.79655797,2.133354783,0.14763055,A,2017,Nigeria
14.23576667,3.279757681,0.88132097,A,2017,Nigeria
15.38216957,2.133354783,0.154533192,A,2017,Nigeria
14.23576667,3.279757681,0.953690648,A,2017,Nigeria
9.076953623,5.572563478,0.889927985,A,2017,Nigeria
13.66256522,4.999362029,0.324276938,A,2017,Nigeria
9.076953623,-1.305853913,0.002815191,A,2017,Nigeria
13.66256522,2.706556232,0.160225575,A,2017,Nigeria
14.23576667,3.279757681,0.910504543,A,2017,Nigeria
10.22335652,2.133354783,0.530234718,A,2017,Nigeria
14.23576667,3.279757681,0.706909783,A,2017,Nigeria
11.94296087,2.133354783,0.270187729,A,2017,Nigeria
14.23576667,3.279757681,0.919092739,A,2017,Nigeria
14.23576667,3.279757681,0.507906179,A,2017,Nigeria
11.94296087,2.133354783,0.428506738,A,2017,Nigeria
9.076953623,5.572563478,0.769435056,A,2017,Nigeria
10.22335652,2.133354783,0.289418305,A,2017,Nigeria
11.94296087,2.133354783,0.772520212,A,2017,Nigeria
10.22335652,2.133354783,0.156367331,A,2017,Nigeria
13.66256522,4.999362029,0.886366942,A,2017,Nigeria
9.650155072,1.560153333,0.041210334,A,2017,Nigeria
10.22335652,2.133354783,0.425058493,A,2017,Nigeria
13.66256522,4.999362029,0.602721494,A,2017,Nigeria
14.23576667,3.279757681,0.845324091,A,2017,Nigeria
10.22335652,1.560153333,0.153210776,A,2017,Nigeria
10.22335652,2.706556232,0.461412314,A,2017,Nigeria
9.076953623,5.572563478,0.955559139,A,2017,Nigeria
10.22335652,2.706556232,0.117058753,A,2017,Nigeria
11.36975942,2.133354783,0.145338869,A,2017,Nigeria
10.22335652,2.133354783,0.44223849,A,2017,Nigeria
10.22335652,2.133354783,0.314658385,A,2017,Nigeria
14.23576667,3.279757681,0.970065636,A,2017,Nigeria
11.94296087,2.133354783,0.31732329,A,2017,Nigeria
14.23576667,3.279757681,0.837055642,A,2017,Nigeria
9.076953623,5.572563478,0.735583488,A,2017,Nigeria
10.22335652,2.133354783,0.686260793,A,2017,Nigeria
11.94296087,2.133354783,0.28380415,A,2017,Nigeria
14.23576667,3.279757681,0.481567217,A,2017,Nigeria
10.22335652,2.133354783,0.461974681,A,2017,Nigeria
14.23576667,3.279757681,0.1801733,A,2017,Nigeria
10.22335652,2.133354783,0.324076471,A,2017,Nigeria
9.650155072,4.999362029,0.063214769,A,2017,Nigeria
14.23576667,3.279757681,0.147054381,A,2017,Nigeria
10.22335652,2.706556232,0.093613583,A,2017,Nigeria
13.66256522,4.999362029,0.439132246,A,2017,Nigeria
13.66256522,4.999362029,0.43421243,A,2017,Nigeria
14.80896812,1.560153333,0.788084304,A,2017,Nigeria
10.22335652,2.133354783,0.76536166,A,2017,Nigeria
14.23576667,3.279757681,0.801397864,A,2017,Nigeria
9.076953623,5.572563478,0.921326933,A,2017,Nigeria
10.22335652,2.133354783,0.511263456,A,2017,Nigeria
10.22335652,2.706556232,0.221080857,A,2017,Nigeria
10.22335652,2.133354783,0.661247571,A,2017,Nigeria
11.36975942,2.133354783,0.300089349,A,2017,Nigeria
11.94296087,2.133354783,0.390323057,A,2017,Nigeria
12.51616232,2.706556232,0.048776861,A,2017,Nigeria
9.076953623,5.572563478,0.972863164,A,2017,Nigeria
10.22335652,2.706556232,0.541024685,A,2017,Nigeria
14.23576667,3.279757681,0.2428909,A,2017,Nigeria
14.23576667,3.279757681,0.808055434,A,2017,Nigeria
13.08936377,4.999362029,0.038038148,A,2017,Nigeria
11.94296087,2.133354783,0.478980266,A,2017,Nigeria
10.22335652,2.133354783,0.232071906,A,2017,Nigeria
10.22335652,2.133354783,0.816412313,A,2017,Nigeria
11.94296087,2.133354783,0.269475475,A,2017,Nigeria
14.23576667,3.279757681,0.101600591,A,2017,Nigeria
10.22335652,2.133354783,0.479612098,A,2017,Nigeria
10.22335652,2.133354783,0.959684462,A,2017,Nigeria
14.80896812,1.560153333,0.86407249,A,2017,Nigeria
9.076953623,-1.305853913,0.004582962,A,2017,Nigeria
9.650155072,4.999362029,0.061139231,A,2017,Nigeria
9.076953623,5.572563478,0.222839873,A,2017,Nigeria
11.94296087,2.133354783,0.849036981,A,2017,Nigeria
10.22335652,2.133354783,0.753637387,A,2017,Nigeria
11.94296087,2.133354783,0.911975564,A,2017,Nigeria
9.076953623,-0.732652464,0.007551282,A,2017,Nigeria
6.210946,7.865369,0.06064913,A,2017,Nigeria
14.23576667,3.279757681,0.503635426,A,2017,Nigeria
10.22335652,2.133354783,0.463284563,A,2017,Nigeria
13.66256522,2.706556232,0.146965441,A,2017,Nigeria
13.66256522,4.999362029,0.267550851,A,2017,Nigeria
11.36975942,2.133354783,0.121641488,A,2017,Nigeria
10.22335652,2.706556232,0.24572688,A,2017,Nigeria
14.23576667,3.279757681,0.117583013,A,2017,Nigeria
9.076953623,5.572563478,0.924355561,A,2017,Nigeria
13.66256522,2.706556232,0.211947146,A,2017,Nigeria
14.23576667,3.279757681,0.40856542,A,2017,Nigeria
14.23576667,3.279757681,0.343047808,A,2017,Nigeria
12.51616232,2.706556232,0.130038987,A,2017,Nigeria
10.22335652,2.133354783,0.229168762,A,2017,Nigeria
10.22335652,2.133354783,0.23804727,A,2017,Nigeria
14.80896812,1.560153333,0.423564896,A,2017,Nigeria
10.22335652,2.133354783,0.673298141,A,2017,Nigeria
9.650155072,4.999362029,0.044703972,A,2017,Nigeria
10.22335652,2.133354783,0.185359298,A,2017,Nigeria
10.22335652,2.133354783,0.357691693,A,2017,Nigeria
10.22335652,3.85295913,0.022143738,A,2017,Nigeria
11.36975942,2.133354783,0.269570417,A,2017,Nigeria
10.22335652,2.133354783,0.212496519,A,2017,Nigeria
13.66256522,2.706556232,0.044661439,A,2017,Nigeria
10.79655797,2.133354783,0.13317595,A,2017,Nigeria
13.66256522,3.279757681,0.130885734,A,2017,Nigeria
5.637745,7.865369,0.05861734,A,2017,Nigeria
